-87.7785521597	10.9694808301	-50
-87.7725389757	10.9626964494	-49
-87.7665260674	10.9559119508	-48
-87.7605134348	10.9491273346	-47
-87.7545010777	10.9423426006	-46
-87.7484889958	10.9355577491	-45
-87.7424771891	10.9287727801	-44
-87.7364656573	10.9219876937	-43
-87.7304544003	10.9152024899	-42
-87.7244434178	10.9084171689	-41
-87.7184327097	10.9016317307	-40
-87.7124222757	10.8948461754	-39
-87.7064121158	10.8880605031	-38
-87.7004022297	10.8812747139	-37
-87.6943926173	10.8744888078	-36
-87.6883832783	10.8677027849	-35
-87.6823742127	10.8609166453	-34
-87.6763654201	10.8541303891	-33
-87.6703569004	10.8473440164	-32
-87.6643486535	10.8405575272	-31
-87.6583406791	10.8337709216	-30
-87.6523329771	10.8269841998	-29
-87.6463255472	10.8201973617	-28
-87.6403183894	10.8134104075	-27
-87.6343115034	10.8066233372	-26
-87.628304889	10.799836151	-25
-87.6222985461	10.7930488488	-24
-87.6162924745	10.7862614308	-23
-87.610286674	10.7794738971	-22
-87.6042811443	10.7726862478	-21
-87.5982758855	10.7658984828	-20
-87.5922708971	10.7591106024	-19
-87.5862661791	10.7523226065	-18
-87.5802617313	10.7455344953	-17
-87.5742575535	10.7387462689	-16
-87.5682536455	10.7319579272	-15
-87.5622500072	10.7251694705	-14
-87.5562466383	10.7183808987	-13
-87.5502435386	10.711592212	-12
-87.5442407081	10.7048034105	-11
-87.5382381464	10.6980144941	-10
-87.5322358535	10.6912254631	-9
-87.5262338292	10.6844363174	-8
-87.5202320732	10.6776470572	-7
-87.5142305853	10.6708576825	-6
-87.5082293655	10.6640681935	-5
-87.5022284135	10.6572785901	-4
-87.4962277291	10.6504888725	-3
-87.4902273121	10.6436990408	-2
-87.4842271625	10.636909095	-1
-87.4782272799	10.6301190352	0
-87.4722276642	10.6233288615	1
-87.4662283153	10.616538574	2
-87.4602292329	10.6097481727	3
-87.4542304168	10.6029576578	4
-87.4482318669	10.5961670293	5
-87.4422335831	10.5893762873	6
-87.436235565	10.5825854318	7
-87.4302378126	10.575794463	8
-87.4242403256	10.5690033809	9
-87.4182431039	10.5622121857	10
-87.4122461472	10.5554208773	11
-87.4062494555	10.5486294559	12
-87.4002530285	10.5418379215	13
-87.3942568661	10.5350462743	14
-87.388260968	10.5282545143	15
-87.3822653341	10.5214626415	16
-87.3762699642	10.5146706561	17
-87.3702748581	10.5078785582	18
-87.3642800156	10.5010863478	19
-87.3582854366	10.494294025	20
-87.3522911208	10.4875015899	21
-87.3462970682	10.4807090425	22
-87.3403032785	10.473916383	23
-87.3343097514	10.4671236114	24
-87.328316487	10.4603307278	25
-87.3223234849	10.4535377322	26
-87.3163307449	10.4467446249	27
-87.310338267	10.4399514057	28
-87.3043460509	10.4331580749	29
-87.2983540965	10.4263646325	30
-87.2923624035	10.4195710785	31
-87.2863709717	10.4127774132	32
-87.2803798011	10.4059836364	33
-87.2743888914	10.3991897483	34
-87.2683982424	10.3923957491	35
-87.262407854	10.3856016387	36
-87.2564177259	10.3788074173	37
-87.250427858	10.3720130848	38
-87.2444382502	10.3652186415	39
-87.2384489021	10.3584240874	40
-87.2324598137	10.3516294226	41
-87.2264709848	10.344834647	42
-87.2204824152	10.338039761	43
-87.2144941046	10.3312447644	44
-87.208506053	10.3244496574	45
-87.2025182601	10.31765444	46
-87.1965307258	10.3108591124	47
-87.1905434499	10.3040636746	48
-87.1845564321	10.2972681268	49
-87.1785696724	10.2904724688	50
