			GMRT Grid Version 4.1.1
Longitude	Latitude	Distance (km)	Elevation (m)
-87.4040	9.6845	16.491123	-3214.1428
-87.4032	9.6852	16.611496	-3211.8352
-87.4024	9.6859	16.731869	-3208.48
-87.4015	9.6866	16.852242	-3204.2578
-87.4007	9.6873	16.972614	-3199.4382
-87.3999	9.6880	17.092987	-3194.9438
-87.3991	9.6888	17.21336	-3191.7522
-87.3982	9.6895	17.333733	-3189.6973
-87.3974	9.6902	17.454105	-3187.6626
-87.3966	9.6909	17.574478	-3185.9866
-87.3958	9.6916	17.69485	-3184.0237
-87.3949	9.6923	17.815224	-3181.5674
-87.3941	9.6930	17.935596	-3179.0845
-87.3933	9.6938	18.05597	-3176.5864
-87.3924	9.6945	18.176342	-3175.0918
-87.3916	9.6952	18.296715	-3174.7507
-87.3908	9.6959	18.417088	-3175.067
-87.3900	9.6966	18.53746	-3174.184
-87.3891	9.6973	18.657833	-3173.6826
-87.3883	9.6980	18.778206	-3173.143
-87.3875	9.6987	18.898579	-3173.5552
-87.3867	9.6995	19.018951	-3175.6155
-87.3858	9.7002	19.139324	-3176.6985
-87.3850	9.7009	19.259697	-3177.6045
-87.3842	9.7016	19.38007	-3177.9414
-87.3834	9.7023	19.500443	-3177.2317
-87.3825	9.7030	19.620815	-3176.2012
-87.3817	9.7037	19.741188	-3175.0464
-87.3809	9.7045	19.86156	-3174.1084
-87.3801	9.7052	19.981934	-3171.371
-87.3792	9.7059	20.102306	-3168.2368
-87.3784	9.7066	20.22268	-3166.568
-87.3776	9.7073	20.343052	-3166.4463
-87.3768	9.7080	20.463425	-3166.3523
-87.3759	9.7087	20.583797	-3166.8103
-87.3751	9.7095	20.70417	-3166.1616
-87.3743	9.7102	20.824543	-3164.306
-87.3735	9.7109	20.944916	-3162.2798
-87.3726	9.7116	21.065289	-3160.5066
-87.3718	9.7123	21.185661	-3159.8708
-87.3710	9.7130	21.306034	-3159.8286
-87.3702	9.7137	21.426407	-3159.94
-87.3693	9.7145	21.54678	-3159.7354
-87.3685	9.7152	21.667152	-3159.1936
-87.3677	9.7159	21.787525	-3158.534
-87.3669	9.7166	21.907898	-3157.4563
-87.3660	9.7173	22.02827	-3157.0867
-87.3652	9.7180	22.148643	-3157.2754
-87.3644	9.7187	22.269016	-3157.8967
-87.3635	9.7194	22.389389	-3158.0227
-87.3627	9.7202	22.509762	-3158.232
-87.3619	9.7209	22.630135	-3158.26
-87.3611	9.7216	22.750507	-3158.0513
-87.3602	9.7223	22.87088	-3158.3264
-87.3594	9.7230	22.991253	-3158.0508
-87.3586	9.7237	23.111626	-3158.1514
-87.3578	9.7244	23.231998	-3158.5886
