			GMRT Grid Version 4.1.1
Longitude	Latitude	Distance (km)	Elevation (m)
-87.0197	10.0162	72.46473	-3086.2576
-87.0189	10.0169	72.585106	-3089.2754
-87.0180	10.0176	72.70548	-3091.0078
-87.0172	10.0183	72.82586	-3090.0708
-87.0164	10.0190	72.946236	-3096.3235
-87.0156	10.0197	73.06661	-3115.272
-87.0147	10.0204	73.18699	-3121.5435
-87.0139	10.0212	73.307365	-3123.974
-87.0131	10.0219	73.42774	-3121.5977
-87.0123	10.0226	73.54812	-3121.555
-87.0114	10.0233	73.668495	-3125.3855
-87.0106	10.0240	73.78887	-3130.22
-87.0098	10.0247	73.90925	-3131.6816
-87.0089	10.0254	74.029625	-3131.2812
-87.0081	10.0261	74.15	-3130.56
-87.0073	10.0269	74.27038	-3130.0718
-87.0065	10.0276	74.390755	-3129.6685
-87.0056	10.0283	74.51113	-3131.0256
-87.0048	10.0290	74.63151	-3132.115
-87.0040	10.0297	74.751884	-3134.0535
-87.0032	10.0304	74.87226	-3135.461
-87.0023	10.0311	74.99264	-3136.5693
-87.0015	10.0318	75.113014	-3138.27
-87.0007	10.0326	75.23339	-3141.469
-86.9998	10.0333	75.35377	-3146.5605
-86.9990	10.0340	75.474144	-3152.9565
-86.9982	10.0347	75.59452	-3158.5437
-86.9974	10.0354	75.7149	-3161.3796
-86.9965	10.0361	75.83527	-3161.5117
-86.9957	10.0368	75.95565	-3160.5156
-86.9949	10.0376	76.07603	-3159.7795
-86.9940	10.0383	76.1964	-3159.9265
-86.9932	10.0390	76.31678	-3161.641
-86.9924	10.0397	76.43716	-3164.575
-86.9916	10.0404	76.55753	-3168.959
-86.9907	10.0411	76.67791	-3173.7734
-86.9899	10.0418	76.79829	-3177.2493
-86.9891	10.0425	76.91866	-3180.273
-86.9883	10.0433	77.03904	-3179.9412
-86.9874	10.0440	77.15942	-3177.1697
-86.9866	10.0447	77.27979	-3178.836
-86.9858	10.0454	77.40017	-3181.3667
-86.9849	10.0461	77.520546	-3201.1797
-86.9841	10.0468	77.64092	-3211.8853
-86.9833	10.0475	77.7613	-3166.4495
-86.9825	10.0482	77.881676	-3171.6448
-86.9816	10.0490	78.00205	-3182.7424
-86.9808	10.0497	78.12243	-3188.3892
-86.9800	10.0504	78.242805	-3189.594
-86.9791	10.0511	78.36318	-3188.208
-86.9783	10.0518	78.48356	-3188.3372
-86.9775	10.0525	78.603935	-3191.076
-86.9767	10.0532	78.72431	-3194.8337
-86.9758	10.0539	78.84469	-3196.448
-86.9750	10.0547	78.965065	-3194.9111
-86.9742	10.0554	79.08544	-3190.631
-86.9734	10.0561	79.20582	-3186.8884
-86.9725	10.0568	79.326195	-3188.68
-86.9717	10.0575	79.44657	-3194.6592
-86.9709	10.0582	79.56695	-3197.9402
-86.9700	10.0589	79.687325	-3202.305
-86.9692	10.0596	79.8077	-3220.3655
-86.9684	10.0604	79.92808	-3206.7407
-86.9676	10.0611	80.048454	-3207.977
-86.9667	10.0618	80.16883	-3214.9897
-86.9659	10.0625	80.28921	-3225.9783
-86.9651	10.0632	80.409584	-3240.689
-86.9643	10.0639	80.52996	-3253.4844
-86.9634	10.0646	80.65034	-3261.5913
-86.9626	10.0653	80.77071	-3264.9275
-86.9618	10.0661	80.89109	-3267.6206
-86.9609	10.0668	81.01147	-3271.1946
-86.9601	10.0675	81.13184	-3275.925
-86.9593	10.0682	81.25222	-3280.697
-86.9585	10.0689	81.3726	-3280.4631
-86.9576	10.0696	81.49297	-3275.025
-86.9568	10.0703	81.61335	-3268.686
-86.9560	10.0711	81.73373	-3264.963
-86.9552	10.0718	81.8541	-3268.0635
-86.9543	10.0725	81.97448	-3274.7307
-86.9535	10.0732	82.09486	-3280.927
-86.9527	10.0739	82.21523	-3286.2874
-86.9518	10.0746	82.33561	-3292.5867
-86.9510	10.0753	82.455986	-3301.644
-86.9502	10.0760	82.57636	-3316.0352
-86.9494	10.0768	82.69674	-3334.7769
-86.9485	10.0775	82.817116	-3352.517
-86.9477	10.0782	82.93749	-3363.3086
-86.9469	10.0789	83.05787	-3364.2756
-86.9461	10.0796	83.178246	-3360.068
-86.9452	10.0803	83.29862	-3354.8262
-86.9444	10.0810	83.419	-3352.8293
-86.9436	10.0817	83.539375	-3352.6438
-86.9427	10.0825	83.65975	-3354.6624
-86.9419	10.0832	83.78013	-3357.7197
-86.9411	10.0839	83.900505	-3361.8384
-86.9403	10.0846	84.02088	-3366.2163
-86.9394	10.0853	84.14126	-3375.3848
-86.9386	10.0860	84.261635	-3386.1658
-86.9378	10.0867	84.38201	-3397.23
-86.9369	10.0874	84.50239	-3406.124
-86.9361	10.0882	84.622765	-3409.3647
-86.9353	10.0889	84.74314	-3419.8535
-86.9345	10.0896	84.86352	-3435.612
-86.9336	10.0903	84.983894	-3449.9214
-86.9328	10.0910	85.10427	-3455.8313
-86.9320	10.0917	85.22465	-3451.5295
-86.9312	10.0924	85.345024	-3446.9592
-86.9303	10.0931	85.4654	-3446.7214
-86.9295	10.0939	85.58578	-3450.3982
-86.9287	10.0946	85.706154	-3456.8071
-86.9278	10.0953	85.82653	-3464.1802
-86.9270	10.0960	85.94691	-3469.4856
-86.9262	10.0967	86.06728	-3469.6602
-86.9254	10.0974	86.18766	-3466.572
-86.9245	10.0981	86.30804	-3461.738
-86.9237	10.0988	86.42841	-3456.8835
-86.9229	10.0996	86.54879	-3451.8623
-86.9220	10.1003	86.66917	-3447.4348
-86.9212	10.1010	86.78954	-3442.799
-86.9204	10.1017	86.90992	-3439.9001
-86.9196	10.1024	87.0303	-3413.3987
-86.9187	10.1031	87.15067	-3427.6775
-86.9179	10.1038	87.27105	-3455.3997
-86.9171	10.1045	87.391426	-3490.267
-86.9163	10.1053	87.5118	-3446.3333
-86.9154	10.1060	87.63218	-3437.506
-86.9146	10.1067	87.752556	-3442.3992
-86.9138	10.1074	87.87293	-3452.041
-86.9129	10.1081	87.99331	-3461.143
-86.9121	10.1088	88.113686	-3471.858
-86.9113	10.1095	88.23406	-3486.5903
-86.9105	10.1102	88.35444	-3509.0889
-86.9096	10.1110	88.474815	-3527.073
-86.9088	10.1117	88.59519	-3536.3357
-86.9080	10.1124	88.71557	-3537.4585
-86.9072	10.1131	88.835945	-3538.1655
-86.9063	10.1138	88.95632	-3543.6006
-86.9055	10.1145	89.0767	-3560.1414
-86.9047	10.1152	89.197075	-3578.8352
-86.9038	10.1159	89.31745	-3592.405
-86.9030	10.1167	89.43783	-3591.0742
-86.9022	10.1174	89.558205	-3590.2637
-86.9014	10.1181	89.67858	-3595.2878
-86.9005	10.1188	89.79896	-3607.794
-86.8997	10.1195	89.919334	-3630.9697
-86.8989	10.1202	90.03971	-3663.9153
-86.8980	10.1209	90.16009	-3700.1016
-86.8972	10.1216	90.280464	-3731.1562
-86.8964	10.1224	90.40084	-3753.1729
-86.8956	10.1231	90.52122	-3766.5735
-86.8947	10.1238	90.641594	-3773.0825
-86.8939	10.1245	90.76197	-3775.408
-86.8931	10.1252	90.88235	-3778.6262
-86.8922	10.1259	91.00272	-3781.014
-86.8914	10.1266	91.1231	-3783.2866
-86.8906	10.1273	91.24348	-3785.504
-86.8898	10.1281	91.36385	-3787.6592
-86.8889	10.1288	91.48423	-3790.0369
-86.8881	10.1295	91.60461	-3791.1577
-86.8873	10.1302	91.72498	-3788.8726
-86.8865	10.1309	91.84536	-3784.3206
-86.8856	10.1316	91.96574	-3779.3906
-86.8848	10.1323	92.08611	-3774.7258
-86.8840	10.1330	92.20649	-3769.925
-86.8831	10.1338	92.326866	-3763.2002
-86.8823	10.1345	92.44724	-3755.7556
-86.8815	10.1352	92.56762	-3750.371
-86.8807	10.1359	92.687996	-3746.3267
-86.8798	10.1366	92.80837	-3743.5408
-86.8790	10.1373	92.92875	-3740.9316
-86.8782	10.1380	93.049126	-3735.2568
-86.8773	10.1387	93.1695	-3730.6755
-86.8765	10.1395	93.28988	-3731.3835
-86.8757	10.1402	93.410255	-3737.6855
-86.8749	10.1409	93.53063	-3745.4255
-86.8740	10.1416	93.65101	-3750.6465
-86.8732	10.1423	93.771385	-3751.5737
-86.8724	10.1430	93.89176	-3748.6443
-86.8715	10.1437	94.01214	-3744.9126
-86.8707	10.1444	94.132515	-3743.173
-86.8699	10.1452	94.25289	-3742.094
-86.8691	10.1459	94.37327	-3738.805
-86.8682	10.1466	94.493645	-3733.9214
-86.8674	10.1473	94.61402	-3729.3892
-86.8666	10.1480	94.7344	-3726.825
-86.8658	10.1487	94.854774	-3727.541
-86.8649	10.1494	94.97515	-3730.9363
-86.8641	10.1501	95.09553	-3734.345
-86.8633	10.1509	95.215904	-3737.954
-86.8624	10.1516	95.33628	-3743.3994
-86.8616	10.1523	95.45666	-3752.8223
-86.8608	10.1530	95.577034	-3765.993
-86.8600	10.1537	95.69741	-3779.8696
-86.8591	10.1544	95.81779	-3790.0813
-86.8583	10.1551	95.93816	-3794.9573
-86.8575	10.1558	96.05854	-3796.206
-86.8566	10.1566	96.17892	-3796.4348
-86.8558	10.1573	96.29929	-3795.52
-86.8550	10.1580	96.41967	-3793.9553
-86.8542	10.1587	96.54005	-3792.012
-86.8533	10.1594	96.66042	-3789.8137
-86.8525	10.1601	96.7808	-3787.4568
-86.8517	10.1608	96.90118	-3787.101
-86.8508	10.1615	97.02155	-3788.6504
-86.8500	10.1623	97.14193	-3792.841
-86.8492	10.1630	97.26231	-3800.046
-86.8484	10.1637	97.38268	-3808.9336
-86.8475	10.1644	97.50306	-3818.6917
-86.8467	10.1651	97.623436	-3827.8022
-86.8459	10.1658	97.74381	-3836.12
-86.8450	10.1665	97.86419	-3843.5596
-86.8442	10.1672	97.984566	-3853.344
-86.8434	10.1680	98.10494	-3867.129
-86.8426	10.1687	98.22532	-3886.7373
-86.8417	10.1694	98.345695	-3916.5137
-86.8409	10.1701	98.46607	-3951.03
-86.8401	10.1708	98.58645	-3985.778
-86.8393	10.1715	98.706825	-4015.733
-86.8384	10.1722	98.8272	-4040.9504
-86.8376	10.1729	98.94758	-4064.3938
-86.8368	10.1737	99.067955	-4086.5132
-86.8359	10.1744	99.18833	-4104.652
-86.8351	10.1751	99.30871	-4115.371
-86.8343	10.1758	99.429085	-4116.722
-86.8335	10.1765	99.54946	-4111.66
-86.8326	10.1772	99.66984	-4103.2153
-86.8318	10.1779	99.790215	-4093.3352
-86.8310	10.1786	99.91059	-4084.2258
-86.8301	10.1794	100.03097	-4076.2812
-86.8293	10.1801	100.151344	-4069.63
-86.8285	10.1808	100.27172	-4064.0488
-86.8277	10.1815	100.3921	-4059.4058
-86.8268	10.1822	100.512474	-4056.9556
-86.8260	10.1829	100.63285	-4057.7212
-86.8252	10.1836	100.75323	-4060.1003
-86.8243	10.1843	100.873604	-4064.482
-86.8235	10.1851	100.99398	-4071.4353
-86.8227	10.1858	101.11436	-4081.0886
-86.8219	10.1865	101.23473	-4093.2747
-86.8210	10.1872	101.35511	-4107.8975
-86.8202	10.1879	101.47549	-4125.103
-86.8194	10.1886	101.59586	-4143.9663
-86.8186	10.1893	101.71624	-4160.349
-86.8177	10.1900	101.83662	-4170.429
-86.8169	10.1908	101.95699	-4172.6665
-86.8161	10.1915	102.07737	-4170.0757
-86.8152	10.1922	102.19775	-4166.4805
-86.8144	10.1929	102.31812	-4164.2812
-86.8136	10.1936	102.4385	-4163.0205
-86.8128	10.1943	102.558876	-4161.9165
-86.8119	10.1950	102.67925	-4160.2236
-86.8111	10.1957	102.79963	-4160.2524
-86.8103	10.1965	102.920006	-4161.9463
-86.8094	10.1972	103.04038	-4164.7646
-86.8086	10.1979	103.16076	-4165.591
-86.8078	10.1986	103.281136	-4160.6577
-86.8070	10.1993	103.40151	-4150.0884
-86.8061	10.2000	103.52189	-4134.2964
-86.8053	10.2007	103.642265	-4122.525
-86.8045	10.2014	103.76264	-4112.381
-86.8036	10.2022	103.88302	-4108.705
-86.8028	10.2029	104.003395	-4107.044
-86.8020	10.2036	104.12377	-4109.5835
-86.8012	10.2043	104.24415	-4117.956
-86.8003	10.2050	104.364525	-4133.2427
-86.7995	10.2057	104.4849	-4153.7725
-86.7987	10.2064	104.60528	-4176.4214
-86.7978	10.2071	104.725655	-4191.3574
-86.7970	10.2078	104.84603	-4197.158
-86.7962	10.2086	104.96641	-4196.5264
-86.7954	10.2093	105.086784	-4193.4937
-86.7945	10.2100	105.20716	-4191.7363
-86.7937	10.2107	105.32754	-4189.452
-86.7929	10.2114	105.447914	-4186.9062
-86.7920	10.2121	105.56829	-4185.433
-86.7912	10.2128	105.68867	-4186.545
-86.7904	10.2135	105.809044	-4188.8994
-86.7896	10.2143	105.92942	-4192.3047
-86.7887	10.2150	106.0498	-4198.036
-86.7879	10.2157	106.17017	-4207.548
-86.7871	10.2164	106.29055	-4217.821
-86.7862	10.2171	106.41093	-4227.596
-86.7854	10.2178	106.5313	-4236.454
-86.7846	10.2185	106.65168	-4243.8403
-86.7838	10.2192	106.77206	-4254.617
-86.7829	10.2200	106.89243	-4270.749
-86.7821	10.2207	107.01281	-4292.1074
-86.7813	10.2214	107.13319	-4311.6836
-86.7804	10.2221	107.25356	-4325.8438
-86.7796	10.2228	107.37394	-4332.858
-86.7788	10.2235	107.494316	-4341.2573
-86.7780	10.2242	107.61469	-4358.886
-86.7771	10.2249	107.73507	-4377.8394
-86.7763	10.2257	107.855446	-4390.5293
-86.7755	10.2264	107.97582	-4396.6577
-86.7747	10.2271	108.0962	-4401.5093
-86.7738	10.2278	108.216576	-4408.5093
-86.7730	10.2285	108.33695	-4417.649
-86.7722	10.2292	108.45733	-4426.7925
-86.7713	10.2299	108.577705	-4438.6045
-86.7705	10.2306	108.69808	-4452.935
-86.7697	10.2314	108.81846	-4463.465
-86.7689	10.2321	108.938835	-4467.8667
-86.7680	10.2328	109.05921	-4468.373
-86.7672	10.2335	109.17959	-4467.7144
-86.7664	10.2342	109.299965	-4469.9946
-86.7655	10.2349	109.42034	-4475.3813
-86.7647	10.2356	109.54072	-4483.5547
-86.7639	10.2363	109.661095	-4495.8555
-86.7631	10.2371	109.78147	-4511.1465
-86.7622	10.2378	109.90185	-4530.491
-86.7614	10.2385	110.022224	-4556.575
-86.7606	10.2392	110.1426	-4587.605
-86.7597	10.2399	110.26298	-4620.1973
-86.7589	10.2406	110.383354	-4651.504
-86.7581	10.2413	110.50373	-4679.505
-86.7573	10.2420	110.62411	-4701.849
-86.7564	10.2427	110.744484	-4719.5923
-86.7556	10.2435	110.86486	-4741.8745
-86.7548	10.2442	110.98524	-4760.766
-86.7539	10.2449	111.10561	-4789.5107
-86.7531	10.2456	111.22599	-4818.658
-86.7523	10.2463	111.34637	-4842.4434
-86.7514	10.2470	111.46674	-4864.9556
-86.7506	10.2477	111.58712	-4879.328
-86.7498	10.2484	111.7075	-4888.0967
-86.7490	10.2492	111.82787	-4894.2173
-86.7481	10.2499	111.94825	-4899.0503
-86.7473	10.2506	112.06863	-4910.697
-86.7465	10.2513	112.189	-4925.095
-86.7457	10.2520	112.30938	-4942.99
-86.7448	10.2527	112.429756	-4961.0083
-86.7440	10.2534	112.55013	-4979.1562
-86.7432	10.2541	112.67051	-4994.0923
-86.7423	10.2549	112.790886	-5005.962
-86.7415	10.2556	112.91126	-5012.066
-86.7407	10.2563	113.03164	-5015.488
-86.7399	10.2570	113.152016	-5012.5938
-86.7390	10.2577	113.27239	-5010.7153
-86.7382	10.2584	113.39277	-5010.5234
-86.7374	10.2591	113.513145	-5028.8555
-86.7365	10.2598	113.63352	-5061.7534
-86.7357	10.2606	113.7539	-5096.9683
-86.7349	10.2613	113.874275	-5061.8745
-86.7341	10.2620	113.99465	-5074.7144
-86.7332	10.2627	114.11503	-5062.161
-86.7324	10.2634	114.235405	-5102.409
-86.7316	10.2641	114.35578	-5076.9526
