#SPATIAL.ascii 1
SimpleDB {
  num-values =      3
  value-names =  rate_amplitude_x  rate_amplitude_y  rate_start_time
  value-units =  m/year  m/year  year
  num-locs =   1836
  data-dim =    1
  space-dim =    2
  cs-data = cartesian {
  to-meters = 1
  space-dim = 2
}
}
 -1.143558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.142558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.141558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.140558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.139558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.138558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.137558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.136558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.135558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.134558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.133558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.132558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.131558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.130558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.129558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.128558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.127558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.126558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.125558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.124558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.123558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.122558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.121558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.120558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.119558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.118558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.117558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.116558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.115558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.114558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.113558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.112558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.111558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.110558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.109558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.108558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.107558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.106558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.105558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.104558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.103558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.102558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.101558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.100558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.099558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.098558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.097558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.096558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.095558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.094558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.093558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.092558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.091558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.090558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.089558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.088558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.087558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.086558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.085558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.084558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.083558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.082558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.081558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.080558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.079558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.078558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.077558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.076558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.075558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.074558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
